iter	Passed	Remaining
321	428	902
322	430	901
323	431	900
324	432	899
325	434	897
326	435	896
327	436	894
328	438	893
329	439	892
330	440	891
331	442	889
332	443	888
333	445	887
334	446	886
335	447	885
336	449	883
337	450	882
338	451	881
339	453	879
340	454	878
341	455	877
342	457	876
343	458	874
344	460	873
345	461	872
346	462	870
347	464	869
348	465	868
349	466	866
350	468	866
351	469	864
352	470	863
353	472	861
354	473	860
355	474	859
356	476	857
357	477	856
358	478	854
359	480	853
360	481	852
361	482	850
362	483	848
363	485	847
364	486	845
365	487	844
366	488	843
367	490	841
368	491	840
369	493	839
370	494	837
371	495	836
372	496	835
373	498	834
374	499	832
375	501	831
376	502	830
377	503	828
378	504	827
379	505	825
380	507	824
381	508	822
382	509	821
383	511	820
384	512	818
385	513	817
386	514	815
387	516	814
388	517	812
389	518	811
390	520	810
391	521	808
392	522	807
393	524	806
394	525	804
395	526	803
396	527	801
397	529	800
398	530	799
399	532	798
400	533	796
401	534	795
402	535	793
403	537	792
404	538	791
405	540	790
406	541	789
407	542	787
408	543	786
409	545	784
410	547	784
411	548	783
412	550	782
413	551	780
414	552	779
415	554	777
416	555	776
417	556	774
418	557	772
419	558	771
420	560	770
421	561	768
422	562	767
423	563	765
424	565	764
425	566	763
426	567	761
427	569	760
428	570	759
429	571	757
430	573	756
431	574	755
432	575	753
433	577	752
434	578	751
435	579	749
436	581	748
437	582	747
438	584	746
439	585	744
440	586	743
441	588	742
442	589	741
443	590	739
444	592	738
445	593	737
446	596	738
447	599	739
448	601	738
449	602	736
450	603	735
451	604	733
452	606	731
453	607	730
454	608	729
455	610	727
456	611	726
457	612	725
458	614	724
459	615	723
460	617	721
461	618	720
462	619	719
463	621	717
464	622	716
465	624	715
466	625	713
467	626	712
468	628	711
469	629	709
470	630	708
471	632	707
472	633	705
473	634	704
474	636	703
475	637	701
476	638	700
477	640	699
478	641	697
479	643	696
480	644	695
481	645	694
482	647	693
483	648	691
484	650	690
485	651	689
486	653	687
487	654	686
488	655	684
489	656	683
490	658	682
491	659	681
492	660	679
493	662	678
494	663	677
495	664	675
496	666	674
497	667	672
498	669	671
499	670	670
500	671	669
501	673	667
502	674	666
503	675	665
504	677	664
505	678	662
506	680	661
507	681	660
508	683	658
509	684	657
510	685	656
511	687	654
512	688	653
513	689	652
514	691	651
515	692	649
516	694	648
517	695	647
518	697	646
519	698	644
520	699	643
521	701	642
522	702	641
523	704	639
524	705	638
525	707	637
526	708	635
527	709	634
528	711	633
529	712	631
530	713	630
531	715	629
532	716	627
533	717	626
534	719	625
535	720	623
536	722	622
537	723	621
538	725	620
539	726	618
540	728	617
541	729	616
542	730	615
543	732	613
544	734	613
545	736	612
546	738	611
547	739	609
548	740	608
549	741	606
550	742	605
551	743	603
552	745	602
553	746	601
554	748	599
555	749	598
556	750	597
557	752	595
558	753	594
559	754	593
560	756	591
561	757	590
562	759	589
563	760	587
564	762	586
565	763	585
566	765	584
567	766	583
568	767	581
569	769	580
570	770	578
571	771	577
572	773	576
573	774	575
574	776	573
575	777	572
576	778	570
577	779	569
578	781	568
579	782	566
580	783	565
581	785	563
582	786	562
583	788	561
584	789	559
585	790	558
586	791	556
587	792	555
588	794	554
589	795	552
590	797	551
591	798	550
592	800	549
593	801	547
594	803	546
595	804	545
596	805	544
597	807	542
598	808	541
599	809	539
600	811	538
601	812	537
602	813	535
603	814	534
604	816	532
605	817	531
606	818	530
607	820	528
608	821	527
609	823	526
610	824	524
611	825	523
612	827	522
613	828	521
614	830	519
615	831	518
616	833	517
617	834	515
618	836	514
619	837	513
620	838	511
621	839	510
622	841	509
623	842	507
624	844	506
625	845	505
626	846	503
627	847	502
628	849	501
629	850	499
630	852	498
631	853	497
632	855	495
633	856	494
634	858	493
635	859	491
636	860	490
637	862	489
638	863	487
639	865	486
640	866	485
641	868	484
642	869	482
643	871	481
644	872	480
645	874	478
646	875	477
647	877	476
648	878	475
649	880	473
650	881	472
651	882	471
652	884	469
653	885	468
654	887	467
655	888	465
656	889	464
657	891	463
658	892	461
659	893	460
660	895	459
661	896	457
662	897	456
663	898	454
664	900	453
665	901	452
666	903	450
667	904	449
668	906	448
669	907	446
670	908	445
671	910	444
672	912	443
673	914	442
674	915	440
675	916	439
676	917	437
677	918	436
678	920	435
679	921	433
680	922	432
681	923	430
682	925	429
683	926	428
684	927	426
685	928	425
686	929	423
687	931	422
688	932	420
689	933	419
690	934	417
691	935	416
692	936	415
693	938	413
694	939	412
695	940	410
696	941	409
697	943	408
698	944	406
699	945	405
700	946	403
701	947	402
702	949	401
703	950	399
704	951	398
705	953	396
706	954	395
707	955	394
708	957	392
709	958	391
710	960	390
711	961	389
712	963	387
713	964	386
714	966	385
715	967	383
716	969	382
717	970	381
718	971	379
719	972	378
720	974	376
721	975	375
722	977	374
723	978	373
724	980	371
725	982	370
726	985	369
727	987	368
728	991	368
729	993	367
730	996	366
731	1000	366
732	1003	365
733	1006	364
734	1010	364
735	1012	363
736	1015	362
737	1020	362
738	1022	361
739	1025	360
740	1026	358
741	1028	357
742	1029	356
743	1030	354
744	1031	353
745	1033	351
746	1034	350
747	1036	349
748	1037	347
749	1038	346
750	1040	344
751	1041	343
752	1043	342
753	1044	340
754	1045	339
755	1046	337
756	1048	336
757	1049	335
758	1050	333
759	1052	332
760	1053	330
761	1055	329
762	1056	328
763	1057	326
764	1059	325
765	1060	323
766	1061	322
767	1062	321
768	1064	319
769	1065	318
770	1066	316
771	1068	315
772	1069	314
773	1071	312
774	1072	311
775	1073	309
776	1074	308
777	1076	307
778	1077	305
779	1079	304
780	1080	302
781	1081	301
782	1083	300
783	1085	299
784	1087	297
785	1089	296
786	1090	295
787	1091	293
788	1092	292
789	1094	290
790	1095	289
791	1096	288
792	1098	286
793	1099	285
794	1100	283
795	1101	282
796	1102	280
797	1104	279
798	1105	278
799	1106	276
800	1108	275
801	1109	273
802	1110	272
803	1112	271
804	1113	269
805	1114	268
806	1116	266
807	1117	265
808	1119	264
809	1120	262
810	1122	261
811	1123	260
812	1125	258
813	1126	257
814	1127	255
815	1129	254
816	1130	253
817	1131	251
818	1133	250
819	1134	249
820	1135	247
821	1137	246
822	1138	244
823	1140	243
824	1141	242
825	1142	240
826	1144	239
827	1145	237
828	1146	236
829	1148	235
830	1149	233
831	1150	232
832	1152	231
833	1153	229
834	1155	228
835	1156	226
836	1157	225
837	1159	224
838	1160	222
839	1161	221
840	1162	219
841	1163	218
842	1165	217
843	1166	215
844	1168	214
845	1169	212
846	1171	211
847	1172	210
848	1173	208
849	1175	207
850	1176	206
851	1177	204
852	1179	203
853	1180	201
854	1182	200
855	1183	199
856	1184	197
857	1186	196
858	1187	194
859	1188	193
860	1190	192
861	1191	190
862	1192	189
863	1194	187
864	1195	186
865	1196	185
866	1198	183
867	1199	182
868	1200	181
869	1202	179
870	1203	178
871	1205	176
872	1206	175
873	1208	174
874	1209	172
875	1210	171
876	1212	170
877	1213	168
878	1214	167
879	1216	165
880	1217	164
881	1219	163
882	1220	161
883	1222	160
884	1223	158
885	1225	157
886	1226	156
887	1227	154
888	1228	153
889	1230	152
890	1231	150
891	1232	149
892	1234	147
893	1235	146
894	1237	145
895	1238	143
896	1239	142
897	1241	141
898	1242	139
899	1244	138
900	1245	136
901	1246	135
902	1248	134
903	1249	132
904	1251	131
905	1252	129
906	1253	128
907	1254	127
908	1256	125
909	1257	124
910	1259	122
911	1260	121
912	1261	120
913	1263	118
914	1264	117
915	1265	116
916	1267	114
917	1268	113
918	1270	111
919	1272	110
920	1274	109
921	1275	107
922	1276	106
923	1277	105
924	1278	103
925	1279	102
926	1281	100
927	1282	99
928	1283	98
929	1284	96
930	1285	95
931	1286	93
932	1288	92
933	1289	91
934	1290	89
935	1291	88
936	1292	86
937	1293	85
938	1294	84
939	1295	82
940	1297	81
941	1298	79
942	1299	78
943	1300	77
944	1301	75
945	1303	74
946	1304	72
947	1305	71
948	1307	70
949	1308	68
950	1309	67
951	1311	66
952	1312	64
953	1314	63
954	1315	61
955	1316	60
956	1318	59
957	1319	57
958	1320	56
959	1322	55
960	1323	53
961	1325	52
962	1326	50
963	1327	49
964	1328	48
965	1330	46
966	1331	45
967	1333	44
968	1334	42
969	1335	41
970	1337	39
971	1338	38
972	1340	37
973	1341	35
974	1342	34
975	1344	33
976	1345	31
977	1347	30
978	1348	28
979	1349	27
980	1351	26
981	1352	24
982	1354	23
983	1355	22
984	1357	20
985	1358	19
986	1360	17
987	1361	16
988	1362	15
989	1364	13
990	1365	12
991	1366	11
992	1368	9
993	1369	8
994	1371	6
995	1372	5
996	1373	4
997	1375	2
998	1376	1
999	1377	0
