,r1x,r1y,v1x,v1y,r2x,r2y,v2x,v2y,r3x,r3y,v3x,v3y
247,-3.4558476306148007,2.293428599695101,-0.10447584740762998,-0.09606056164276426,-2.3952928794358304,2.6509204111823204,0.0023709661123748928,-0.04099444353485501,-3.772019835004534,0.7912580887704576,0.050976742229744736,0.09286684490792647
248,-3.4662952153555637,2.2838225435308246,-0.1038072491103938,-0.09636406739280612,-2.395055782824593,2.6468209668288347,0.0017657537096863588,-0.04142900259145765,-3.7669221607815597,0.8005447732612502,0.051278645375770086,0.09348536272890245
249,-3.476675940266603,2.274186136791544,-0.10314438530260109,-0.09667821288781887,-2.394879207453624,2.642678066569689,0.001162703943255679,-0.041864277873080544,-3.7617942962439828,0.8098933095341404,0.05158118489071351,0.09411009853693127
250,-3.4869903787968632,2.2645183155027624,-0.10248680353234906,-0.09700319944382721,-2.3947629370592987,2.638491638782381,0.00056165350753594,-0.04230032487167465,-3.7566361777549115,0.8193043193878335,0.05188430276029047,0.09474121465967238
251,-3.497239059150098,2.25481799555838,-0.10183404788924992,-0.09733923877011591,-2.394706771708545,2.6342616062952136,-3.7556937535407385e-05,-0.04273719911241778,-3.7514477474788825,0.8287784408538008,0.05218793497284938,0.09537887878884223
252,-3.5074224639390232,2.2450840716813683,-0.10118565715020325,-0.09768655315181159,-2.394710527402298,2.629987886383972,-0.0006350831397094362,-0.04317495620764357,-3.7462289539815976,0.838316328732685,0.05249201096622072,0.0960232641312718
253,-3.5175410296540437,2.2353154163661872,-0.10054116286121922,-0.09804537561859922,-2.394774035716269,2.6256703907632075,-0.001231077608644035,-0.04361365191002862,-3.7409797528849755,0.8479186551458122,0.05279645302158795,0.09667454955206525
254,-3.5275951459401655,2.2255108788043274,-0.09990008734053697,-0.09841595009343963,-2.3948971434771336,2.6213090255722045,-0.0018256899533218743,-0.0440533421650932,-3.735700107582817,0.8575861101010187,0.05310117559910983,0.09733291970677371
255,-3.537585154674219,2.2156692837949836,-0.09926194158764891,-0.09879853151391454,-2.395079712472466,2.616903691355695,-0.002419067204651041,-0.04449408316306668,-3.730389990022906,0.8673194020716961,0.05340608460951638,0.0979985651588584
256,-3.547511348832984,2.205789430643592,-0.09862622308209038,-0.09919338591735496,-2.395321619192931,2.6124542830393884,-0.0030113541250825593,-0.04493593139016346,-3.7250493815619543,0.877119258587582,0.05371107661535697,0.09867168247795736
